Gap,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110
Radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,-0.655472,-0.661493,-0.666203,-0.670878,-0.675562,-0.679351,-0.68294,-0.685748,-0.688471,-0.690877,-0.692953,-0.694682,-0.695969,-0.696776,-0.697745,-0.698142,-0.697981,-0.697161,-0.696217,-0.694532,-0.692379,-0.689517,-0.685961,-0.681383,-0.676531,-0.670056,-0.662174,-0.652508,-0.641058,-0.627383,-0.61035,-0.588723,-0.561147,-0.527122,-0.481146,-0.420259,-0.340389,-0.241384,-0.136461,-0.043921,-0.940256,-0.873615,-0.7981,-0.700903,0.250415,0.421541,0.52119,0.597714,0.667865,0.735594,0.78696,0.820193,0.8484,0.878506,0.898226,0.909495
150,-0.653625,-0.658836,-0.664031,-0.668303,-0.672285,-0.676425,-0.679539,-0.682394,-0.684713,-0.687014,-0.68851,-0.689802,-0.690839,-0.691497,-0.691491,-0.691312,-0.69082,-0.689406,-0.687691,-0.685301,-0.682101,-0.678015,-0.673181,-0.667245,-0.660388,-0.651999,-0.641207,-0.628009,-0.61263,-0.593081,-0.568429,-0.537595,-0.496823,-0.441042,-0.373653,-0.284003,-0.177787,-0.0700014,0.00538235,-0.875641,-0.808636,-0.7168,0.329546,0.423692,0.515899,0.602072,0.675423,0.734646,0.787702,0.82932,0.856237,0.879125,0.905134,0.920154,0.9278,0.942694
151,-0.651637,-0.656497,-0.661253,-0.665613,-0.669047,-0.672934,-0.676086,-0.678327,-0.680721,-0.682135,-0.683919,-0.684575,-0.684998,-0.684906,-0.684946,-0.684155,-0.682769,-0.680593,-0.677881,-0.674247,-0.670197,-0.664462,-0.657733,-0.649883,-0.640609,-0.62938,-0.614582,-0.596458,-0.574406,-0.546268,-0.510795,-0.462029,-0.399131,-0.314659,-0.216723,-0.111574,-0.00585282,0.0703859,0.0833139,0.267056,0.349708,0.437444,0.529959,0.616967,0.685124,0.740355,0.787648,0.833945,0.864293,0.885637,0.905109,0.927327,0.940675,0.945841,0.95772,0.973303
152,-0.648518,-0.654248,-0.658169,-0.662386,-0.665858,-0.668631,-0.671955,-0.674032,-0.675927,-0.677331,-0.678056,-0.678365,-0.678518,-0.678099,-0.677027,-0.675281,-0.673293,-0.670208,-0.666336,-0.661594,-0.655417,-0.647851,-0.638999,-0.627918,-0.614964,-0.599307,-0.579209,-0.553544,-0.52029,-0.479181,-0.423844,-0.347033,-0.253345,-0.142888,-0.0333258,0.0679278,0.156306,0.259711,0.358666,0.446959,0.542815,0.628535,0.703975,0.760742,0.800602,0.835233,0.870837,0.896626,0.912409,0.926946,0.947142,0.95805,0.961773,0.972696,0.986745,0.985128
153,-0.645101,-0.650593,-0.655255,-0.658598,-0.661927,-0.66477,-0.666841,-0.669011,-0.670285,-0.671432,-0.672084,-0.671415,-0.670847,-0.669758,-0.667867,-0.665657,-0.662039,-0.657478,-0.652139,-0.645506,-0.637434,-0.626948,-0.614514,-0.59994,-0.581305,-0.55844,-0.529733,-0.491192,-0.442088,-0.374495,-0.290831,-0.180412,-0.0593764,0.0548121,0.156233,0.251725,0.359591,0.467361,0.556121,0.638874,0.714714,0.77403,0.817746,0.851166,0.878215,0.903731,0.922647,0.935346,0.946888,0.963982,0.97354,0.975891,0.986505,0.999081,0.996161,0.998418
154,-0.642932,-0.646503,-0.650794,-0.654894,-0.657415,-0.660314,-0.662228,-0.662666,-0.664005,-0.664549,-0.66474,-0.663915,-0.661791,-0.659551,-0.656723,-0.653331,-0.648554,-0.641841,-0.634392,-0.625575,-0.61419,-0.599812,-0.582031,-0.560672,-0.533614,-0.500942,-0.456114,-0.39632,-0.318405,-0.215146,-0.0958541,0.0328514,0.152057,0.265212,0.378621,0.481388,0.578193,0.665941,0.728737,0.784714,0.830268,0.864403,0.889998,0.911358,0.932338,0.946666,0.954814,0.965904,0.98088,0.987348,0.988796,0.998988,-0.989701,-0.992679,-0.990623,-0.976082
155,-0.639481,-0.643787,-0.645601,-0.649262,-0.652585,-0.654355,-0.656225,-0.656599,-0.656266,-0.656362,-0.655409,-0.653789,-0.651424,-0.647423,-0.642875,-0.637858,-0.631016,-0.622455,-0.611354,-0.598835,-0.583145,-0.562367,-0.536713,-0.504711,-0.46319,-0.412384,-0.340874,-0.246194,-0.127256,0.00308497,0.139256,0.274411,0.401044,0.516794,0.614661,0.687677,0.754496,0.80405,0.842258,0.875793,0.90116,0.921765,0.93895,0.957355,0.968832,0.973562,0.98309,0.995968,-0.999577,-0.999135,-0.990007,-0.979385,-0.982847,-0.980744,-0.967184,-0.971978
156,-0.633678,-0.638906,-0.641886,-0.643133,-0.645507,-0.647127,-0.648095,-0.648808,-0.64822,-0.646438,-0.64451,-0.64127,-0.637782,-0.632757,-0.625592,-0.617566,-0.607475,-0.595857,-0.581027,-0.56204,-0.5381,-0.508385,-0.469017,-0.419402,-0.34974,-0.265028,-0.15052,-0.0143291,0.13943,0.280891,0.416066,0.540447,0.64161,0.722425,0.781138,0.822858,0.860543,0.89136,0.915144,0.932424,0.947193,0.962022,0.978067,0.987253,0.991596,0.998739,-0.990468,-0.986563,-0.987229,-0.979485,-0.969914,-0.973569,-0.97183,-0.958935,-0.962887,-0.96674
157,-0.628827,-0.631714,-0.635638,-0.637819,-0.637771,-0.638421,-0.638511,-0.637751,-0.637135,-0.634959,-0.631313,-0.625806,-0.618813,-0.611842,-0.603602,-0.591006,-0.575981,-0.557699,-0.5352,-0.507779,-0.470687,-0.42108,-0.354485,-0.267916,-0.159558,-0.015803,0.14547,0.306212,0.447868,0.562759,0.665458,0.742682,0.802603,0.84613,0.876463,0.905149,0.928424,0.94721,0.960566,0.970367,0.98161,0.995754,-0.996107,-0.993205,-0.986859,-0.977693,-0.974627,-0.975657,-0.969045,-0.960302,-0.964677,-0.963805,-0.950526,-0.955016,-0.959505,-0.944238
158,-0.622153,-0.624857,-0.625805,-0.628594,-0.629882,-0.628393,-0.626867,-0.624613,-0.621041,-0.617955,-0.612852,-0.605098,-0.594213,-0.582669,-0.568272,-0.551833,-0.528422,-0.49888,-0.46222,-0.414453,-0.352747,-0.265886,-0.143897,-0.0112398,0.159809,0.334087,0.479356,0.601471,0.693829,0.763856,0.818495,0.861213,0.896187,0.918872,0.939894,0.95869,0.973802,0.983682,0.991548,-0.999262,-0.988002,-0.982227,-0.979298,-0.974999,-0.965657,-0.963016,-0.965149,-0.958887,-0.950427,-0.955906,-0.955614,-0.942608,-0.947683,-0.952242,-0.936697,-0.944243
159,-0.613201,-0.615417,-0.615701,-0.615301,-0.615309,-0.615094,-0.611849,-0.607275,-0.601213,-0.593082,-0.584636,-0.573755,-0.5603,-0.540622,-0.514478,-0.483818,-0.444727,-0.39433,-0.328671,-0.240679,-0.119342,0.0250742,0.186094,0.355788,0.508973,0.632164,0.722968,0.788031,0.838373,0.87877,0.909193,0.933297,0.952338,0.969287,0.984017,0.99686,-0.996153,-0.990202,-0.981953,-0.972969,-0.968561,-0.967244,-0.962802,-0.954429,-0.952763,-0.955567,-0.949235,-0.941598,-0.947604,-0.947217,-0.934881,-0.940998,-0.944785,-0.929788,-0.937672,-0.943811
160,-0.60269,-0.602595,-0.601707,-0.600686,-0.595328,-0.590826,-0.587267,-0.580448,-0.571869,-0.559098,-0.54179,-0.520658,-0.495627,-0.462903,-0.416146,-0.353586,-0.267398,-0.168939,-0.0598957,0.0770056,0.223765,0.376619,0.523895,0.648312,0.739235,0.805899,0.85726,0.893762,0.925127,0.947489,0.964749,0.979538,0.993085,-0.993864,-0.984126,-0.978061,-0.973188,-0.967054,-0.958697,-0.955493,-0.955807,-0.952023,-0.9437,-0.943232,-0.946221,-0.939711,-0.933199,-0.939496,-0.938713,-0.92743,-0.934049,-0.93756,-0.923212,-0.931508,-0.93674,-0.919277
161,-0.579855,-0.582021,-0.579153,-0.57494,-0.569116,-0.556239,-0.542467,-0.527983,-0.51181,-0.490972,-0.458115,-0.415028,-0.355731,-0.274271,-0.181923,-0.0776328,0.0399966,0.161989,0.274391,0.40263,0.533878,0.648272,0.743984,0.81706,0.870292,0.90688,0.937537,0.961766,0.979689,0.992541,-0.997333,-0.985809,-0.975252,-0.96702,-0.962495,-0.958549,-0.95318,-0.945982,-0.943234,-0.944644,-0.94128,-0.934171,-0.934073,-0.936972,-0.931219,-0.925025,-0.931273,-0.93092,-0.920224,-0.926731,-0.930737,-0.916875,-0.925046,-0.930048,-0.91352,-0.92727
162,-0.54714,-0.543266,-0.534652,-0.523181,-0.508352,-0.488826,-0.457802,-0.419287,-0.373856,-0.300296,-0.235409,-0.165002,-0.0723473,0.0399313,0.147188,0.237683,0.313744,0.407839,0.527416,0.650417,0.746757,0.821049,0.875893,0.916799,0.947848,0.972373,0.992328,-0.994355,-0.984075,-0.975432,-0.967172,-0.958483,-0.951763,-0.948387,-0.945343,-0.940983,-0.933613,-0.931976,-0.933992,-0.930975,-0.924974,-0.925607,-0.928417,-0.923128,-0.91737,-0.923299,-0.923394,-0.913129,-0.919434,-0.92371,-0.91044,-0.918636,-0.923756,-0.907607,-0.921233,-0.923168
163,-0.487211,-0.474573,-0.441146,-0.393943,-0.336021,-0.271916,-0.21097,-0.141361,-0.0739074,0.0535684,-0.957871,-0.887419,-0.810954,-0.723979,-0.636069,0.405244,0.522326,0.634869,0.743791,0.824195,0.880222,0.923893,0.955774,0.981776,-0.99861,-0.983279,-0.971184,-0.963249,-0.956109,-0.949302,-0.942754,-0.938026,-0.935297,-0.933183,-0.929052,-0.922723,-0.921643,-0.923669,-0.92047,-0.915686,-0.916783,-0.920274,-0.915614,-0.909723,-0.915749,-0.916409,-0.905868,-0.912314,-0.916824,-0.903969,-0.912207,-0.918053,-0.901722,-0.915082,-0.917257,-0.899969
164,-0.264797,-0.234431,-0.180409,-0.113809,-0.991068,-0.948335,-0.902072,-0.864366,-0.814611,-0.772717,-0.739805,-0.703506,-0.658891,-0.600665,0.506342,0.610169,0.721184,0.811697,0.883681,0.932369,0.964579,0.988752,-0.991461,-0.974982,-0.960553,-0.951676,-0.945365,-0.940115,-0.93362,-0.927667,-0.924368,-0.923217,-0.922206,-0.91788,-0.912643,-0.912085,-0.913931,-0.911729,-0.906661,-0.907931,-0.912037,-0.9082,-0.902138,-0.908856,-0.909529,-0.898847,-0.905677,-0.91054,-0.896701,-0.905825,-0.912194,-0.895677,-0.909335,-0.91154,-0.894163,-0.920983
165,-0.929882,-0.909745,-0.87231,-0.822843,-0.788661,-0.769267,-0.757871,-0.738886,-0.71806,-0.685655,-0.645264,-0.593094,-0.499224,0.572055,0.696863,0.798686,0.876006,0.933071,0.971867,0.998436,-0.982256,-0.966131,-0.953535,-0.942132,-0.934806,-0.929577,-0.925312,-0.919897,-0.915069,-0.910972,-0.911603,-0.911372,-0.907969,-0.903238,-0.902914,-0.905068,-0.903472,-0.898338,-0.899419,-0.903948,-0.900128,-0.894941,-0.902321,-0.902622,-0.892049,-0.899617,-0.903998,-0.890293,-0.899695,-0.905748,-0.889353,-0.90379,-0.905813,-0.8881,-0.915241,-0.900468
166,-0.769195,-0.762217,-0.752441,-0.743426,-0.728673,-0.710559,-0.692564,-0.666865,-0.633235,-0.593872,-0.536386,-0.500782,0.661547,0.776346,0.866109,0.930031,0.973171,-0.994851,-0.971543,-0.955631,-0.943878,-0.934207,-0.924799,-0.91855,-0.914727,-0.911967,-0.907822,-0.902742,-0.899439,-0.900294,-0.900608,-0.897923,-0.894246,-0.894106,-0.896629,-0.895478,-0.890388,-0.892024,-0.896356,-0.892037,-0.887957,-0.895555,-0.895922,-0.885927,-0.893552,-0.89779,-0.884321,-0.893944,-0.899291,-0.882978,-0.898156,-0.899745,-0.882472,-0.909924,-0.89441,-0.890346
167,-0.715849,-0.712477,-0.702963,-0.686502,-0.675282,-0.661231,-0.636021,-0.602228,-0.551218,-0.465643,0.618746,0.745945,0.847232,0.925319,0.9757,-0.988637,-0.964503,-0.947521,-0.933931,-0.92363,-0.915024,-0.908438,-0.904406,-0.901423,-0.89935,-0.895689,-0.891608,-0.889637,-0.890032,-0.890056,-0.888405,-0.884976,-0.885805,-0.88871,-0.887189,-0.882635,-0.885166,-0.889078,-0.884484,-0.880919,-0.88846,-0.889012,-0.879949,-0.887353,-0.891253,-0.878804,-0.888271,-0.892899,-0.877105,-0.892154,-0.893349,-0.876782,-0.904455,-0.888159,-0.884577,-0.926747
168,-0.69066,-0.679892,-0.669466,-0.652595,-0.628791,-0.597353,-0.559263,-0.490762,-0.373666,0.720163,0.834285,0.916969,0.974934,-0.98633,-0.958276,-0.938697,-0.92467,-0.913915,-0.905855,-0.898341,-0.893305,-0.89018,-0.888861,-0.887524,-0.884427,-0.880938,-0.879808,-0.880454,-0.880854,-0.879238,-0.875704,-0.877376,-0.881142,-0.879414,-0.875232,-0.87805,-0.88216,-0.877985,-0.874173,-0.881305,-0.88212,-0.87386,-0.881181,-0.885144,-0.872983,-0.882523,-0.887039,-0.871777,-0.886373,-0.886897,-0.871207,-0.898801,-0.882047,-0.878777,-0.920308,-0.857475
169,-0.655192,-0.648999,-0.628462,-0.603036,-0.573265,-0.516694,-0.423332,0.690305,0.809621,0.909718,0.977684,-0.980503,-0.948401,-0.929807,-0.915053,-0.903814,-0.896029,-0.889887,-0.883803,-0.878947,-0.876316,-0.876473,-0.875915,-0.873721,-0.870865,-0.869873,-0.871717,-0.872409,-0.870734,-0.86675,-0.869225,-0.873142,-0.871686,-0.86829,-0.870781,-0.875072,-0.871731,-0.867926,-0.874651,-0.875747,-0.867479,-0.874575,-0.879324,-0.8672,-0.876306,-0.881491,-0.866518,-0.880873,-0.881306,-0.865709,-0.892506,-0.87565,-0.873319,-0.913387,-0.849762,-0.948044
